Product Name:,Brand Name,price,final price,discount price,stock,features,Descrption
 Lizol Disinfectant Surface & Floor Cleaner Floral 975 ml (Buy 2 Get 1 500 ml Free) ,Lizol,M.R.P:  358.00,Price:  318.00,You Save:  40.00,In Stock,"    India's No.1 Floor Cleaning Brand, Recommended by the Indian Medical Association Removes 100 types of Stains & 100 Germ strains Use directly or diluted for regular use, Suitable for cleaning all kinds of surfaces Leaves a Pleasant Fragrance. Maximum Shelf Life Months 24 Country of Origin: India Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem, Available Sizes: 200ml, 500ml, 975ml and 2L  See more  "," Lizol Disinfectant Surface & Floor Cleaner Floral 975 ml (Buy 2 Get 1 500 ml Free) Lizol is India’s No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.We are constantly exposed to micro-organisms. Exposure to bad germs can cause food poisoning, diarrhea and other kinds of sickness in individuals. The best way to fight them off is Lizol. Lizol floor cleaner saves you from harmful germs whilst keeping you and your home clean. So, practice good hygiene and cleanliness with Lizol that will prevent these problems.Lizol disinfectant surface cleaning liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavy soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor and furniture clean. So go ahead and buy this product online today! How to use: Step 1 : Pour Step 2 : Mix Step 3 : Mop "
 Surf Excel Quick Wash Detergent Powder 2 kg ,Surf Excel,M.R.P:  370.00,Price:  333.00,You Save:  37.00,In Stock,   Surf Excel Quick Wash washing Powder removes tough stains easily Ensures whiter whites and glowing colours Dissolves quickly   ," Surf Excel Quick Wash Detergent Powder 2 kg One product for more than just one kind of stain! Surf Excel Quick Wash Detergent Powder comes with the power of various stain removing agents like bleach, lemon, etc. in one product. It gives the perfect wash for multiple stain problems in an easy manner. It removes various stains like curry, mud, pickle, grease, and ink. So go ahead and buy this product online today! "
 Patanjali Herbal Wash Neem and Rose Detergent Powder 1 kg  ,Patanjali,M.R.P:  55.00,Price:  51.15,You Save:  3.85,In Stock,   Soft on hands Patanjali Herbal Wash Neem & Rose Detergent Powder maintains the whiteness of the clothes Contains herbal extracts   ," Patanjali Herbal Wash Neem and Rose Detergent Powder 1 kg  Keep clothes looking fresh and clean with Patanjali Herbal Wash Neem & Rose Detergent Powder. The herbal mix, abundant in the extracts of neem and rose, disinfects and brightens clothes, and leaves them smelling fresh. It ensures whiter clothes come out brighter, and other clothes retain their original colour and soft feel. It helps to remove tough stains, grime and marks while protecting the fabric and your hands. The Ayurvedic formulation also safeguards skin from chemicals and pollutants. So go ahead and buy this product online today!  "
 Surf Excel Matic Front Load Detergent Powder 2 kg ,Surf Excel,M.R.P:  530.00,Price:  360.00,You Save:  170.00,In Stock,   Surf Excel Matic Front Load Detergent Powder does not leave residue on clothes It generates the right amount of foam Leaves a pleasant scent No soaking & scrubbing required   ," Surf Excel Matic Front Load Detergent Powder 2 kg Love your clothes more with Surf Excel Matic Front Load Detergent Powder. With the power of vibrating molecules, it removes tough stains in the machine without soaking and scrubbing. The new and improved formula ensures tough stain removal so that you can now stop scrubbing your clothes, despite the machine and it also comes with a 'low foam' formula that makes sure just the right amount of foam is created. So go ahead and buy this product online today! "
 Surf Excel Matic Top Load Detergent Powder 2 kg ,Surf Excel,M.R.P:  449.00,Price:  277.00,You Save:  172.00,In Stock,   It generates the right amount of foamLeaves a pleasant scent   ," Surf Excel Matic Top Load Detergent Powder 2 kg Love your clothes more with Surf Excel Matic Top Load Detergent Powder. With the power of vibrating molecules, it removes tough stains in the machine without soaking and scrubbing. The new and improved formula ensures tough stain removal so that you can now stop scrubbing your clothes, despite the machine and it also comes with a 'low foam' formula that makes sure just the right amount of foam is created. So go ahead and buy this product online today! "
 Wipro Safewash Liquid Detergent 1 kg (Buy 1 Get 1 Free) ,Safewash,M.R.P:  350.00,Price:  315.00,You Save:  35.00,In Stock,   It generates the right amount of foamLeaves a pleasant scent   ," Wipro Safewash Liquid Detergent 1 kg (Buy 1 Get 1 Free) Keep your clothes soft, light and fluffy by washing them using the Wipro Safewash Liquid Detergent. This liquid detergent makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. It keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. So go ahead and buy this product online today!How to use:Step1: 2 capfuls for 1/2 bucket of water or medium washload in the washing machine. "
 Ariel Matic Front Load Detergent Powder 1 kg ,Ariel,M.R.P:  250.00,Price:  232.50,You Save:  17.50,In Stock,   Ariel Matic Front Load Detergent Powder gives brilliant clean in 1 wash Leaves a long-lasting fragrance Keeps your clothes bright wash after wash   , Ariel Matic Front Load Detergent Powder 1 kg Ariel Matic Front Load Detergent Powder gives you tough stain removal in just one wash and is designed especially for front load fully-automatic washing machines. Ariel Detergent Powder offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. So go ahead and buy this product online today! 
 Wipro Safewash Matic Front Load Liquid Detergent 2 L ,Safewash,M.R.P:  390.00,Price:  330.00,You Save:  60.00,In Stock,   It generates the right amount of foamLeaves a pleasant scent   ," Wipro Safewash Matic Front Load Liquid Detergent 2 L Remove stains from your clothes without making them stiff and dull by using Wipro Safewash Matic Front Load Liquid Detergent. It provides a long-lasting freshness while making your clothes soft, smooth and great to wear. It provides a new-like shine, nourishes and untangles cloth fibres damaged by washing and gives clothes an unbelievable shine. So go ahead and buy this product online today! "
 Wipro Safewash Matic Top Load Liquid Detergent 2 L ,Safewash,M.R.P:  370.00,Price:  310.00,You Save:  60.00,In Stock,   Preserves the shine and colourIdeal for all fabric|Leaves a pleasant scent   ," Wipro Safewash Matic Top Load Liquid Detergent 2 L Remove stains from your clothes without making them stiff and dull by using Wipro Safewash Matic Top Load Liquid Detergent. It provides a long-lasting freshness while making your clothes soft, smooth and great to wear. It provides a new-like shine, nourishes and untangles cloth fibres damaged by washing and gives clothes an unbelievable shine. So go ahead and buy this product online today! "
 Surf Excel Matic Front Load Detergent Powder 1 kg ,Surf Excel,M.R.P:  250.00,Price:  232.50,You Save:  17.50,In Stock,   Surf Excel Matic Front Load Detergent Powder does not leave residue on clothes It generates the right amount of foam Leaves a pleasant scent No soaking & scrubbing required   ," Surf Excel Matic Front Load Detergent Powder 1 kg Love your clothes more with Surf Excel Matic Front Load Detergent Powder. With the power of vibrating molecules, it removes tough stains in the machine without soaking and scrubbing. The new and improved formula ensures tough stains are removed so that you can now stop scrubbing your clothes, despite the machine and it also comes with a 'low foam' formula that makes sure just the right amount of foam is created. So go ahead and buy this product online today! "
